key,value,main_key,main_value,secondary_key,secondary_value
aerialway,drag_lift,,,,
aerialway,station,,,,
aerialway,t-bar,,,,
aeroway,aerodrome,,,,
aeroway,apron,,,,
aeroway,hangar,building,yes,,
aeroway,helipad,amenity,parking,,
aeroway,navigationaid,,,,
aeroway,runway,amenity,parking,,
aeroway,taxiway,amenity,parking,,
aeroway,windsock,,,,
amenity,animal_boarding,,,,
amenity,arts_centre,building,yes,,
amenity,atm,,,,
amenity,bank,building,yes,,
amenity,bar,building,yes,,
amenity,bbq,,,,
amenity,bench,,,,
amenity,bicycle_parking,amenity,parking,,
amenity,bicycle_rental,,,,
amenity,biergarten,,,,
amenity,brothel,building,yes,,
amenity,bureau_de_change,building,yes,,
amenity,bus_station,building,yes,,
amenity,cafe,building,yes,,
amenity,car_rental,building,yes,,
amenity,car_wash,building,yes,,
amenity,casino,building,yes,,
amenity,charging_station,,,,
amenity,cinema,building,yes,,
amenity,clinic,building,yes,,
amenity,clock,,,,
amenity,college,,,,
amenity,community_centre,building,yes,,
amenity,conference_centre,building,yes,,
amenity,courthouse,building,yes,,
amenity,crematorium,building,yes,,
amenity,dentist,building,yes,,
amenity,doctors,building,yes,,
amenity,drinking_water,,,,
amenity,driving_school,building,yes,,
amenity,embassy,building,yes,,
amenity,fast_food,building,yes,,
amenity,ferry_terminal,building,yes,,
amenity,fire_station,building,yes,,
amenity,food_court,building,yes,,
amenity,fountain,,,,
amenity,fuel,,,,
amenity,grave_yard,,,,
amenity,grit_bin,,,,
amenity,gym,building,yes,,
amenity,hospital,building,yes,,
amenity,hunting_stand,,,,
amenity,ice_cream,building,yes,,
amenity,internet_cafe,building,yes,,
amenity,kindergarten,building,yes,,
amenity,library,building,yes,,
amenity,marketplace,building,yes,,
amenity,monastery,,,,
amenity,motorcycle_parking,,,,
amenity,music_school,building,yes,,
amenity,nightclub,building,yes,,
amenity,parking,amenity,parking,,
amenity,parking_entrance,,,,
amenity,parking_space,,,,
amenity,pharmacy,building,yes,,
amenity,place_of_worship,building,yes,,
amenity,police,building,yes,,
amenity,post_box,building,yes,,
amenity,post_depot,,,,
amenity,post_office,building,yes,,
amenity,prison,building,yes,,
amenity,pub,building,yes,,
amenity,public_bookcase,building,yes,,
amenity,public_building,building,yes,,
amenity,ranger_station,,,,
amenity,recycling,,,,
amenity,restaurant,building,yes,,
amenity,sanitary_dump_station,,,,
amenity,school,building,yes,,
amenity,shelter,building,yes,,
amenity,shower,building,yes,,
amenity,social_facility,building,yes,,
amenity,studio,building,yes,,
amenity,taxi,,,,
amenity,telephone,,,,
amenity,theatre,building,yes,,
amenity,toilets,,,,
amenity,townhall,building,yes,,
amenity,university,,,,
amenity,vending_machine,,,,
amenity,veterinary,building,yes,,
amenity,waste_basket,,,,
amenity,waste_disposal,,,,
amenity,water_point,,,,
amenity,watering_place,,,,
area,yes,,,,
barrier,block,,,,
barrier,bollard,,,,
barrier,border_control,,,,
barrier,cattle_grid,,,,
barrier,chain,,,,
barrier,cycle_barrier,,,,
barrier,debris,,,,
barrier,entrance,,,,
barrier,full-height_turnstile,,,,
barrier,gate,,,,
barrier,kissing_gate,,,,
barrier,lift_gate,,,,
barrier,log,,,,
barrier,motorcycle_barrier,,,,
barrier,stile,,,,
barrier,swing_gate,,,,
barrier,toll_booth,,,,
barrier,turnstile,,,,
barrier,yes,,,,
bridge,yes,highway,road,,
building,apartments,building,yes,,
building,barn,building,yes,,
building,bungalow,building,yes,,
building,cabin,building,yes,,
building,carport,building,yes,,
building,chapel,building,yes,,
building,church,building,yes,,
building,civic,building,yes,,
building,commercial,building,yes,,
building,construction,building,yes,,
building,cowshed,building,yes,,
building,detached,building,yes,,
building,farm,building,yes,,
building,farm_auxiliary,building,yes,,
building,garage,building,yes,,
building,garages,building,yes,,
building,government,building,yes,,
building,greenhouse,building,yes,,
building,hangar,building,yes,,
building,hospital,building,yes,,
building,hotel,building,yes,,
building,house,building,yes,,
building,hut,building,yes,,
building,industrial,building,yes,,
building,kindergarten,building,yes,,
building,kiosk,building,yes,,
building,mosque,building,yes,,
building,office,building,yes,,
building,parking,building,yes,,
building,public,building,yes,,
building,residential,building,yes,,
building,retail,building,yes,,
building,roof,building,yes,,
building,ruins,building,yes,,
building,school,building,yes,,
building,semidetached_house,building,yes,,
building,service,building,yes,,
building,shed,building,yes,,
building,slurry_tank,building,yes,,
building,stable,building,yes,,
building,stadium,building,yes,,
building,static_caravan,building,yes,,
building,terrace,building,yes,,
building,toilets,building,yes,,
building,train_station,building,yes,,
building,transformer_tower,building,yes,,
building,transportation,building,yes,,
building,university,building,yes,,
building,warehouse,building,yes,,
building,water_tower,building,yes,,
building,yes,building,yes,,
covered,yes,building,yes,,
craft,agricultural_engines,,,,
craft,brewery,,,,
craft,confectionery,,,,
craft,distillery,,,,
craft,electrician,,,,
craft,engraver,,,,
craft,glaziery,,,,
craft,hvac,,,,
craft,locksmith,,,,
craft,metal_construction,,,,
craft,painter,,,,
craft,photographer,,,,
craft,plumber,,,,
craft,roofer,,,,
craft,shoemaker,,,,
