geometry,rand_point_id,SAMPLE_LC1,lat,lon,code
POINT (-90.34082484115631 33.56269462898558),18055,82,33.562694628985575,-90.34082484115629,crops
POINT (-99.13752380871067 40.27437937386601),17422,82,40.27437937386601,-99.1375238087107,crops
POINT (-83.97375643354191 31.40616305766594),13526,82,31.40616305766594,-83.97375643354191,crops
POINT (-84.52591722008567 40.83329189685286),5934,82,40.83329189685285,-84.52591722008567,crops
POINT (-99.12682502957264 48.79076287462563),19796,82,48.79076287462564,-99.12682502957264,crops
POINT (-99.4275337665963 47.9418242597064),5731,82,47.9418242597064,-99.4275337665963,crops
POINT (-94.55019260235429 45.18731426751979),10919,82,45.18731426751979,-94.55019260235427,crops
POINT (-96.68688741119584 41.30338663559679),16105,82,41.303386635596794,-96.68688741119585,crops
POINT (-90.19265654871153 33.45696808170165),18061,82,33.45696808170165,-90.19265654871151,crops
POINT (-84.19131064593711 43.0530594019814),10163,82,43.0530594019814,-84.19131064593711,crops
POINT (-88.20369448435899 44.63897467873051),18841,82,44.638974678730506,-88.20369448435898,crops
POINT (-93.47115681239104 41.50139781024142),5931,82,41.50139781024142,-93.47115681239106,crops
POINT (-90.21989560181225 42.84439998557532),21639,82,42.844399985575315,-90.21989560181223,crops
POINT (-104.2814551045602 40.54232990647406),15268,82,40.54232990647406,-104.28145510456017,crops
POINT (-98.4162759572377 39.52692208257725),10184,82,39.52692208257725,-98.4162759572377,crops
POINT (-86.2969458801236 39.543563101538),13539,82,39.543563101538,-86.2969458801236,crops
POINT (-95.77840642671762 47.92188639187636),23954,82,47.92188639187636,-95.77840642671762,crops
POINT (-91.24098811264143 44.00453549375462),1387,82,44.004535493754624,-91.24098811264143,crops
POINT (-97.12178730720308 32.12057051091582),20826,82,32.12057051091582,-97.12178730720308,crops
POINT (-90.0388194725182 42.97068650175468),21640,82,42.970686501754685,-90.0388194725182,crops
POINT (-91.59247322613261 34.69924912323345),23398,82,34.69924912323345,-91.5924732261326,crops
POINT (-102.6698215425024 46.95370131546492),6341,82,46.953701315464926,-102.66982154250239,crops
POINT (-91.3127386237076 31.89208997194364),1673,82,31.89208997194364,-91.3127386237076,crops
POINT (-85.23033085985911 43.04486268676776),16807,82,43.04486268676776,-85.23033085985911,crops
POINT (-89.95838916540833 40.20814993365022),11195,82,40.20814993365022,-89.95838916540832,crops
POINT (-80.71057784605621 32.96750032583773),17154,82,32.96750032583773,-80.71057784605621,crops
POINT (-113.5956226604998 42.40640952267986),14402,82,42.40640952267986,-113.59562266049976,crops
POINT (-83.62593206820459 40.51117273907914),4681,82,40.51117273907914,-83.62593206820459,crops
POINT (-116.3018980494445 46.27685971721897),18661,82,46.27685971721897,-116.30189804944452,crops
POINT (-97.45582640875206 43.86782146342912),3622,82,43.86782146342912,-97.45582640875206,crops
POINT (-101.9414116512313 32.18317933325464),8161,82,32.18317933325464,-101.94141165123129,crops
POINT (-83.67474507734556 41.23955316218597),23490,82,41.23955316218597,-83.67474507734556,crops
POINT (-85.73422383352627 38.78577257581243),3722,82,38.78577257581243,-85.73422383352627,crops
POINT (-98.70936161641389 41.44422452823508),2985,82,41.444224528235075,-98.70936161641387,crops
POINT (-90.02547501369804 43.10650264773441),21636,82,43.1065026477344,-90.02547501369804,crops
POINT (-89.93233640492215 34.15387123734578),8311,82,34.15387123734578,-89.93233640492217,crops
POINT (-97.76593718974098 30.11552256955341),26020,82,30.11552256955341,-97.76593718974098,crops
POINT (-87.08408689942986 34.79558095033829),7050,82,34.79558095033829,-87.08408689942985,crops
POINT (-88.39317757771386 42.151241630459),11784,82,42.151241630459005,-88.39317757771386,crops
POINT (-97.88714644386471 47.39997986314842),8805,82,47.399979863148424,-97.88714644386472,crops
POINT (-87.06353742309537 40.31130644171555),3234,82,40.311306441715544,-87.06353742309538,crops
POINT (-76.38822438188265 36.35897421078071),6370,82,36.35897421078071,-76.38822438188265,crops
POINT (-90.20709719486845 41.17200892914913),13596,82,41.17200892914913,-90.20709719486842,crops
POINT (-82.38279054548919 33.05026429078602),11490,82,33.05026429078602,-82.38279054548919,crops
POINT (-92.9058377791344 43.5401997014299),13936,82,43.5401997014299,-92.9058377791344,crops
POINT (-85.29336872071727 40.69704707558584),2885,82,40.69704707558584,-85.29336872071727,crops
POINT (-93.42386362910732 45.81971700920124),11303,82,45.81971700920124,-93.4238636291073,crops
POINT (-96.46180484992126 44.59177722501218),2448,82,44.59177722501218,-96.46180484992126,crops
POINT (-87.45152156754023 37.0273996054021),21196,82,37.0273996054021,-87.45152156754023,crops
POINT (-88.90452111581182 43.8877725871004),3831,82,43.8877725871004,-88.9045211158118,crops
POINT (-83.99811570948968 40.86125644452278),125,82,40.86125644452278,-83.9981157094897,crops
POINT (-90.30557483075354 39.37367013675047),13692,82,39.37367013675047,-90.30557483075356,crops
POINT (-92.69141639181136 38.82773902024657),18066,82,38.827739020246575,-92.69141639181136,crops
POINT (-84.85479738641804 42.28424183612217),15246,82,42.28424183612217,-84.85479738641804,crops
POINT (-100.386736563817 34.56374047728114),15683,82,34.563740477281144,-100.38673656381695,crops
POINT (-86.59027326158561 37.26681996506978),12492,82,37.26681996506978,-86.59027326158562,crops
POINT (-95.42523302265708 45.09367827591684),17443,82,45.09367827591685,-95.42523302265707,crops
POINT (-92.37962304867406 45.10911829722217),24918,82,45.109118297222174,-92.37962304867406,crops
POINT (-98.33072552561204 37.60045044585795),19704,82,37.60045044585795,-98.33072552561205,crops
POINT (-80.06071239912026 34.10738332848033),6937,82,34.10738332848033,-80.06071239912026,crops
POINT (-98.75668909733754 39.79351540523717),15209,82,39.79351540523717,-98.75668909733756,crops
POINT (-89.61759760078748 35.99343504899201),25001,82,35.99343504899201,-89.61759760078749,crops
POINT (-89.6055442082933 38.16831519497334),14217,82,38.168315194973346,-89.60554420829331,crops
POINT (-89.03105931392574 35.8260787345155),23853,82,35.8260787345155,-89.03105931392574,crops
POINT (-78.07148843677503 35.39603892222526),19382,82,35.39603892222526,-78.07148843677504,crops
POINT (-98.99105355688199 44.91863106266185),22972,82,44.918631062661845,-98.991053556882,crops
POINT (-99.2331042614414 48.69976263506937),19792,82,48.69976263506937,-99.2331042614414,crops
POINT (-90.36108661860301 41.36746967006039),13591,82,41.367469670060395,-90.361086618603,crops
POINT (-97.63125014320512 37.99078244008161),21045,82,37.99078244008161,-97.63125014320512,crops
POINT (-85.7350831957681 41.49112740397393),10887,82,41.49112740397393,-85.73508319576808,crops
POINT (-88.0905896452557 39.95038860630822),21692,82,39.950388606308216,-88.0905896452557,crops
POINT (-95.83426260083449 39.78584463672567),22397,82,39.78584463672567,-95.83426260083448,crops
POINT (-92.65124967509954 42.31795050271051),14345,82,42.31795050271051,-92.65124967509955,crops
POINT (-83.87037750332634 39.23610099850658),4650,82,39.23610099850658,-83.87037750332634,crops
POINT (-99.48493678940501 39.19261047840966),24572,82,39.192610478409655,-99.484936789405,crops
POINT (-114.9384324620472 43.31464047997991),25131,82,43.31464047997993,-114.93843246204723,crops
POINT (-97.80408175429261 42.96317490687068),13745,82,42.96317490687068,-97.8040817542926,crops
POINT (-121.9462652551996 39.17233208871871),14369,82,39.17233208871871,-121.94626525519959,crops
POINT (-93.31413880596442 39.64299947940638),838,82,39.64299947940638,-93.31413880596442,crops
POINT (-90.54156952191259 35.81419990672412),8712,82,35.81419990672412,-90.54156952191259,crops
POINT (-101.3259573766965 39.57514900389049),18013,82,39.57514900389049,-101.32595737669651,crops
POINT (-91.69853705046026 40.30863045097972),13382,82,40.30863045097972,-91.69853705046026,crops
POINT (-112.0215946131692 41.24560553004638),8184,82,41.245605530046376,-112.02159461316921,crops
POINT (-90.85958121432581 33.83305459780117),6390,82,33.83305459780117,-90.85958121432579,crops
POINT (-88.88460169548294 41.67953865671159),6322,82,41.67953865671159,-88.88460169548294,crops
POINT (-101.6803474682961 39.25963020171584),6581,82,39.259630201715844,-101.68034746829616,crops
POINT (-90.22869788972142 33.55079146317446),18057,82,33.55079146317445,-90.22869788972142,crops
POINT (-100.1530991962229 31.27268286396552),21973,82,31.27268286396552,-100.15309919622291,crops
POINT (-87.32774055580573 41.16784640175976),1739,82,41.16784640175976,-87.32774055580575,crops
POINT (-80.09303766487328 34.30192047951347),6931,82,34.30192047951347,-80.09303766487328,crops
POINT (-88.49233670287724 39.91197726928536),2274,82,39.91197726928536,-88.49233670287724,crops
POINT (-92.06442581778381 41.7219173378292),19265,82,41.721917337829204,-92.0644258177838,crops
POINT (-95.62544033015546 44.2136176938324),8558,82,44.2136176938324,-95.62544033015544,crops
POINT (-102.1726654288556 48.95670942973118),2317,82,48.95670942973118,-102.17266542885557,crops
POINT (-76.78373372474721 42.65322686965575),18932,82,42.653226869655754,-76.7837337247472,crops
POINT (-96.42976480465876 45.36356529932537),24647,82,45.36356529932537,-96.42976480465876,crops
POINT (-85.95729848828037 39.55597288796472),9369,82,39.55597288796472,-85.95729848828037,crops
POINT (-95.86833342256119 41.7285041997213),2341,82,41.7285041997213,-95.86833342256121,crops
POINT (-96.91190642611981 41.04425317986875),20242,82,41.044253179868754,-96.9119064261198,crops
POINT (-100.0751729311068 48.59476896476185),22663,82,48.594768964761855,-100.07517293110679,crops
POINT (-82.97445497611746 39.75914007411648),6041,82,39.75914007411648,-82.97445497611744,crops
POINT (-82.8801486953581 32.63516113137929),20341,82,32.63516113137929,-82.8801486953581,crops
POINT (-84.76817449179185 31.52473193737222),7855,82,31.524731937372216,-84.76817449179184,crops
POINT (-93.2297710556638 42.5316587614204),16701,82,42.531658761420395,-93.22977105566379,crops
POINT (-89.75413271926791 42.65936593349774),12910,82,42.659365933497746,-89.7541327192679,crops
POINT (-122.351274793045 38.21836332024812),6501,82,38.218363320248116,-122.35127479304501,crops
POINT (-96.78296135144029 48.14968386971768),25279,82,48.149683869717684,-96.78296135144028,crops
POINT (-88.23348542634783 40.28106162286353),21688,82,40.28106162286353,-88.23348542634783,crops
POINT (-101.6626751603061 33.55240815871748),10906,82,33.552408158717476,-101.66267516030605,crops
POINT (-89.76513916505428 37.37055381464603),20705,82,37.37055381464603,-89.76513916505428,crops
POINT (-95.35430058812202 42.59742329080818),9435,82,42.59742329080818,-95.35430058812203,crops
POINT (-98.33071052416048 43.49715020522497),1136,82,43.49715020522497,-98.33071052416048,crops
POINT (-119.7698777308263 45.92560718138374),16441,82,45.92560718138375,-119.76987773082634,crops
POINT (-87.64585816921324 38.26463531811577),5496,82,38.26463531811577,-87.64585816921324,crops
POINT (-117.1595349077478 44.77368891052585),3136,82,44.773688910525856,-117.15953490774777,crops
POINT (-95.64826242061805 42.03076582226304),19742,82,42.03076582226304,-95.64826242061804,crops
POINT (-85.09530758218925 40.01642307761642),10410,82,40.01642307761642,-85.09530758218925,crops
POINT (-98.61345812500447 39.46025088505668),18904,82,39.46025088505668,-98.61345812500448,crops
POINT (-88.25770913181006 38.43591725879951),11758,82,38.43591725879951,-88.25770913181006,crops
POINT (-85.06986621969102 37.54292305895307),24513,82,37.54292305895307,-85.06986621969102,crops
POINT (-88.53173135809791 41.1482314154964),12853,82,41.1482314154964,-88.53173135809791,crops
POINT (-78.76205394658443 34.25085449695209),25795,82,34.25085449695209,-78.76205394658443,crops
POINT (-79.57310695879598 33.56196807674119),3657,82,33.561968076741195,-79.57310695879599,crops
POINT (-92.50418511509288 45.44211959533603),12901,82,45.442119595336024,-92.50418511509287,crops
POINT (-84.7769998802045 39.91907444680771),9745,82,39.919074446807706,-84.7769998802045,crops
POINT (-91.55037668082433 41.09799878979742),21391,82,41.097998789797415,-91.55037668082431,crops
POINT (-91.87284811395683 34.58372650359614),1725,82,34.58372650359614,-91.87284811395685,crops
POINT (-84.42843631253656 40.31594659656835),25374,82,40.315946596568345,-84.42843631253656,crops
POINT (-98.36898056226617 41.12427036034579),22446,82,41.12427036034579,-98.36898056226616,crops
POINT (-84.05809968279024 40.29940127419958),25375,82,40.299401274199575,-84.05809968279023,crops
POINT (-84.61640028978211 41.08605658323942),2882,82,41.08605658323942,-84.61640028978209,crops
POINT (-99.0516554673961 37.78928725607782),21015,82,37.78928725607782,-99.05165546739609,crops
POINT (-94.34139874896107 42.34043079802661),2360,82,42.34043079802661,-94.34139874896108,crops
POINT (-84.24511271063594 41.33268627133192),17796,82,41.33268627133192,-84.24511271063594,crops
POINT (-90.13732207784479 39.52454457272346),16538,82,39.52454457272346,-90.13732207784479,crops
POINT (-87.68005314320415 37.36537276937794),15132,82,37.365372769377935,-87.68005314320415,crops
POINT (-102.0328014449255 33.72691442824437),10904,82,33.72691442824437,-102.03280144492555,crops
POINT (-83.67113363669561 40.94002132724119),85,82,40.94002132724119,-83.67113363669561,crops
POINT (-89.18965103623356 41.43138421251972),2678,82,41.431384212519724,-89.18965103623356,crops
POINT (-99.13557014687483 46.03070725825376),9939,82,46.030707258253756,-99.13557014687484,crops
POINT (-101.3135670893194 44.43388646949096),9020,82,44.43388646949096,-101.3135670893194,crops
POINT (-97.82861802926539 29.87042269552402),8476,82,29.87042269552402,-97.8286180292654,crops
POINT (-88.86710538674146 42.44472923808783),16492,82,42.444729238087824,-88.86710538674144,crops
POINT (-92.89944201021041 45.75279703889473),18798,82,45.75279703889474,-92.8994420102104,crops
POINT (-85.21902534007079 40.76599636765267),2889,82,40.765996367652676,-85.2190253400708,crops
POINT (-92.84281825391993 41.32197959138859),10461,82,41.32197959138859,-92.84281825391993,crops
POINT (-102.7707616820664 47.41482502166999),22460,82,47.41482502166999,-102.77076168206641,crops
POINT (-89.5004230763174 36.76984345709291),26156,82,36.769843457092904,-89.5004230763174,crops
POINT (-102.1114422182986 34.97950239972248),5903,82,34.979502399722485,-102.11144221829859,crops
POINT (-102.0170165763184 37.34101723876206),11084,82,37.34101723876206,-102.0170165763184,crops
POINT (-121.1384634455576 38.05610977130419),17310,82,38.056109771304186,-121.13846344555759,crops
POINT (-95.83267944060476 46.08829890522918),17357,82,46.08829890522918,-95.83267944060476,crops
POINT (-101.1608790396336 36.17975916722433),18466,82,36.179759167224326,-101.16087903963356,crops
POINT (-104.1337251888926 39.63983320689309),24499,82,39.639833206893094,-104.13372518889263,crops
POINT (-102.3490842219204 39.66190952373532),19425,82,39.661909523735325,-102.3490842219204,crops
POINT (-100.6444083209855 32.50106489617103),1471,82,32.50106489617103,-100.64440832098556,crops
POINT (-76.95551367915267 40.07100899801223),12388,82,40.071008998012225,-76.95551367915267,crops
POINT (-115.5027727016098 32.89610258900917),21216,82,32.89610258900917,-115.50277270160984,crops
POINT (-101.8864427612604 38.84587347706344),1932,82,38.845873477063435,-101.88644276126044,crops
POINT (-94.1221318928465 44.46689665485872),3959,82,44.46689665485872,-94.12213189284651,crops
POINT (-91.03039342942085 32.48123155371948),7641,82,32.48123155371948,-91.03039342942085,crops
POINT (-76.41166766302381 40.70774681782705),9074,82,40.70774681782705,-76.41166766302379,crops
POINT (-100.8490741047083 37.62915940055728),19235,82,37.62915940055729,-100.8490741047083,crops
POINT (-83.66706916237554 31.72859422579181),17568,82,31.728594225791806,-83.66706916237554,crops
POINT (-84.85034411234651 41.43770624460872),20738,82,41.43770624460872,-84.85034411234649,crops
POINT (-101.659187301849 32.06010248115624),12963,82,32.060102481156235,-101.65918730184895,crops
POINT (-94.4920511074495 42.37223546177847),3528,82,42.372235461778466,-94.4920511074495,crops
POINT (-108.9320101554005 45.33494915688726),16941,82,45.334949156887255,-108.9320101554005,crops
POINT (-96.55418426231181 40.48438760171002),11900,82,40.484387601710026,-96.55418426231181,crops
POINT (-87.6204234722757 37.9052845404263),8813,82,37.905284540426294,-87.62042347227569,crops
POINT (-96.7268242966223 28.67152445682536),10347,82,28.67152445682536,-96.7268242966223,crops
POINT (-93.16977921700506 39.46163491908337),8952,82,39.461634919083366,-93.16977921700506,crops
